"","Name","ID","Lat","Lon","Stn.Name","Stn.stDate","Stn.edDate"
"448","Flagstaff","USW00003103",35.1442,-111.6664,"FLAGSTAFF WB CITY","1899-01-01","1950-01-11"
"449","Flagstaff","USW00003103",35.1442,-111.6664,"FLAGSTAFF PULLIAM ARPT","1950-01-12","2020-12-31"
"450","MuscleShoals","USW00013896",34.7442,-87.5997,"Florence","1893-01-01","1940-11-30"
"451","MuscleShoals","USW00013896",34.7442,-87.5997,"Muscle Shoals Regional AP","1940-12-01","2020-12-31"
"452","Montgomery","USW00013895",32.2997,-86.4075,"MONTGOMERY WB CITY","1873-01-01","1947-12-31"
"453","Montgomery","USW00013895",32.2997,-86.4075,"MONTGOMERY DANNELLY FIELD","1948-01-01","2020-12-31"
"454","Mobile","USW00013838",30.6264,-88.0681,"MOBILE WB CITY","1871-01-01","1947-12-31"
"455","Mobile","USW00013838",30.6264,-88.0681,"MOBILE REGIONAL AP","1948-01-01","2020-12-31"
"456","Huntsville","USW00003856",34.6439,-86.7861,"MADISON","1895-01-01","1936-12-31"
"457","Huntsville","USW00003856",34.6439,-86.7861,"HUNTSVILLE","1937-01-01","1954-07-14"
"458","Huntsville","USW00003856",34.6439,-86.7861,"MADISON","1954-07-15","1958-08-31"
"459","Huntsville","USW00003856",34.6439,-86.7861,"HUNTSVILLE","1958-09-01","2020-12-31"
"460","Birmingham","USW00013876",33.5656,-86.745,"BIRMINGHAM","1896-01-01","1903-12-31"
"461","Birmingham","USW00013876",33.5656,-86.745,"BIRMINGHAM AP","1904-01-01","2020-12-31"
